Date,Genotype,"Week 1 set or week 2 set? (generation time is 2 weeks, so sets were staggered to have flies out each week)",Wing clipping pattern was matched within treatment or mismatched,Plate # within a batch,"Three-way mating pattern (FC = female CMY chooser, MS = male starch chooser, etc).",Assay start time,AM or PM?,Order,well possition,Copulation initiation time,Copulation end time,Male wing clip,Female wing clip,Mating pattern,Male diet treatment,Female diet treatment,Type of mating pattern,Binary assortative/disassortative,Loder,Loader,Data recorder,Copulation latency,Latency as integer,Copulation duration,Duration as integer
5/15/14,Canton s,2,matched,1,FC,9:06:00,am,5,,9:30,9:51,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:24:00,0:21:00,24,21
5/15/14,Canton s,2,matched,1,FC,9:06:00,am,6,,9:38,9:59,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:32:00,0:21:00,32,21
5/15/14,Canton s,2,matched,1,FC,9:06:00,am,7,,9:46,10:01,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:40:00,0:15:00,40,15
5/15/14,Canton s,2,matched,2,FC,9:06:00,am,3,,9:14,9:32,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:08:00,0:18:00,8,18
5/15/14,Canton s,2,matched,2,FC,9:06:00,am,4,,9:18,9:32,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:12:00,0:14:00,12,14
5/15/14,Canton s,2,matched,2,FC,9:06:00,am,7,,9:20,9:38,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:14:00,0:18:00,14,18
5/15/14,Canton s,2,matched,2,FC,9:06:00,am,8,,9:22,9:38,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:16:00,0:16:00,16,16
5/15/14,Canton s,2,matched,2,FC,9:06:00,am,9,,9:32,9:49,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:26:00,0:17:00,26,17
5/15/14,Canton s,2,matched,2,FC,9:06:00,am,11,,9:43,10:04,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:37:00,0:21:00,37,21
5/15/14,Canton s,2,matched,2,FC,9:06:00,am,14,,10:01,10:14,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:55:00,0:13:00,55,13
